ngram,n,count,document_count,median_density_pct,nonzero_median_density_pct,recommended_density_pct,recommended_occurrences_per_1000_words,recommended_min_occurrences_per_1000_words,recommended_max_occurrences_per_1000_words,competitor_density_pct,density_basis,recommended_use,ngram_id
позвонить,1,6,2,0.4081,0.4081,0.4081,4.1,3.1,5.1,cmp_001:5/795=0.6289% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_134
номер,1,6,2,0.4081,0.4081,0.4081,4.1,3.1,5.1,cmp_001:5/795=0.6289% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_135
грузоперевозки,1,6,2,0.4081,0.4081,0.4081,4.1,3.1,5.1,cmp_001:5/795=0.6289% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_136
подача,1,5,2,0.4067,0.4067,0.4067,4.1,3.1,5.1,cmp_001:2/795=0.2516% | cmp_003:3/534=0.5618%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_137
грузовик,1,5,2,0.4067,0.4067,0.4067,4.1,3.1,5.1,cmp_001:2/795=0.2516% | cmp_003:3/534=0.5618%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_138
внедорожник,1,5,2,0.4067,0.4067,0.4067,4.1,3.1,5.1,cmp_001:2/795=0.2516% | cmp_003:3/534=0.5618%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_139
бесплатно,1,5,2,0.4067,0.4067,0.4067,4.1,3.1,5.1,cmp_001:2/795=0.2516% | cmp_003:3/534=0.5618%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_140
узбекистана,1,5,2,0.376,0.376,0.376,3.8,2.8,4.8,cmp_001:3/795=0.3774% | cmp_003:2/534=0.3745%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_141
оператора,1,5,2,0.376,0.376,0.376,3.8,2.8,4.8,cmp_001:3/795=0.3774% | cmp_003:2/534=0.3745%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_142
месте,1,5,2,0.376,0.376,0.376,3.8,2.8,4.8,cmp_001:3/795=0.3774% | cmp_003:2/534=0.3745%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_143
манипулятор,1,5,2,0.376,0.376,0.376,3.8,2.8,4.8,cmp_001:3/795=0.3774% | cmp_003:2/534=0.3745%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_144
любого,1,5,2,0.376,0.376,0.376,3.8,2.8,4.8,cmp_001:3/795=0.3774% | cmp_003:2/534=0.3745%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_145
яшнабад,1,5,2,0.3452,0.3452,0.3452,3.5,2.6,4.4,cmp_001:4/795=0.5031% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_146
яккасарай,1,5,2,0.3452,0.3452,0.3452,3.5,2.6,4.4,cmp_001:4/795=0.5031% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_147
шайхантахур,1,5,2,0.3452,0.3452,0.3452,3.5,2.6,4.4,cmp_001:4/795=0.5031% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_148
учтепа,1,5,2,0.3452,0.3452,0.3452,3.5,2.6,4.4,cmp_001:4/795=0.5031% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_149
улугбек,1,5,2,0.3452,0.3452,0.3452,3.5,2.6,4.4,cmp_001:4/795=0.5031% | cmp_003:1/534=0.1873%,median competitor density across all parsed pass/warn pages; nonzero median is used only when all-page median is 0,use_naturally,ng_150
