competitor_id,url,domain,title,ai_citation_count,topic_overlap,selection_source,source_prompts,source_files
cmp_001,https://166.uz,166.uz,166.uz,1,2,ai_citation_history,услуги эвакуатора,/home/user/Evakuator-/geo_agent/data/processed/услуги-эвакуатора_ai_answers.csv
cmp_002,https://olx.uz,olx.uz,OLX Uzbekistan,1,2,ai_citation_history,услуги эвакуатора,/home/user/Evakuator-/geo_agent/data/processed/услуги-эвакуатора_ai_answers.csv
cmp_003,https://166.uz/cena-evakuatora-v-tashkente,166.uz,,0,0,explicit_user_or_command_url,,
cmp_004,https://m.olx.uz,m.olx.uz,,0,0,explicit_user_or_command_url,,
